wavelength_nm,psi_deg,delta_deg,alpha,beta,chi,xi,energy_conservation
300.000000,31.279103,-38.273063,0.407689,-0.000000,-0.258361,0.170891,0.754740
302.000000,31.140196,-41.246204,0.437900,-0.000000,-0.249698,0.174500,0.736784
304.000000,31.012485,-44.302899,0.468716,-0.000000,-0.240131,0.178222,0.718317
306.000000,30.948907,-47.400484,0.500042,-0.000000,-0.229902,0.181376,0.700114
308.000000,30.988545,-50.458862,0.531427,-0.000000,-0.219358,0.183382,0.682894
310.000000,31.151475,-53.372219,0.562106,-0.000000,-0.208940,0.183841,0.667265
312.000000,31.424957,-56.163818,0.592361,-0.000000,-0.198547,0.182861,0.652719
314.000000,31.797226,-58.842392,0.622280,-0.000000,-0.188118,0.180531,0.638996
316.000000,32.256328,-61.289950,0.650639,-0.000000,-0.178181,0.176819,0.626725
318.000000,32.771999,-63.423800,0.676374,-0.000000,-0.169176,0.171978,0.616223
320.000000,33.304281,-65.201657,0.698698,-0.000000,-0.161410,0.166465,0.607541
322.000000,33.844426,-66.697636,0.718245,-0.000000,-0.154680,0.160457,0.600112
324.000000,34.398806,-67.992296,0.735837,-0.000000,-0.148706,0.153941,0.593426
326.000000,34.948986,-69.089398,0.751323,-0.000000,-0.143531,0.147181,0.587422
328.000000,35.478676,-70.002151,0.764682,-0.000000,-0.139144,0.140436,0.581988
330.000000,35.974036,-70.749566,0.775990,-0.000000,-0.135497,0.133946,0.576988
332.000000,36.450323,-71.362722,0.785682,-0.000000,-0.132490,0.127537,0.572272
334.000000,36.924773,-71.867211,0.794134,-0.000000,-0.130033,0.120995,0.567734
336.000000,37.389697,-72.277885,0.801431,-0.000000,-0.128055,0.114459,0.563290
338.000000,37.839251,-72.611103,0.807699,-0.000000,-0.126473,0.108039,0.558853
340.000000,38.269100,-72.884314,0.813094,-0.000000,-0.125192,0.101826,0.554334
342.000000,38.690761,-73.099721,0.817715,-0.000000,-0.124223,0.095660,0.549758
344.000000,39.118059,-73.250084,0.821561,-0.000000,-0.123630,0.089337,0.545202
346.000000,39.551144,-73.339210,0.824657,-0.000000,-0.123397,0.082864,0.540659
348.000000,39.990344,-73.370519,0.827027,-0.000000,-0.123505,0.076246,0.536121
350.000000,40.436135,-73.347033,0.828689,-0.000000,-0.123939,0.069487,0.531582
352.000000,40.884200,-73.284415,0.829776,-0.000000,-0.124595,0.062668,0.526964
354.000000,41.333122,-73.194184,0.830395,-0.000000,-0.125402,0.055821,0.522225
356.000000,41.787203,-73.071866,0.830510,-0.000000,-0.126387,0.048884,0.517412
358.000000,42.249917,-72.911514,0.830057,-0.000000,-0.127588,0.041810,0.512577
360.000000,42.723903,-72.705535,0.828950,-0.000000,-0.129051,0.034562,0.507770
362.000000,43.209417,-72.458000,0.827215,-0.000000,-0.130743,0.027148,0.502977
364.000000,43.705927,-72.177783,0.824928,-0.000000,-0.132604,0.019584,0.498169
366.000000,44.213957,-71.862986,0.822056,-0.000000,-0.134639,0.011870,0.493371
368.000000,44.733654,-71.511392,0.818562,-0.000000,-0.136853,0.004012,0.488610
370.000000,45.264751,-71.120430,0.814404,-0.000000,-0.139254,-0.003977,0.483910
372.000000,45.807684,-70.693187,0.809602,-0.000000,-0.141813,-0.012096,0.479268
374.000000,46.363686,-70.233154,0.804180,-0.000000,-0.144499,-0.020354,0.474675
376.000000,46.933145,-69.737606,0.798097,-0.000000,-0.147315,-0.028748,0.470147
378.000000,47.516134,-69.203144,0.791305,-0.000000,-0.150269,-0.037268,0.465701
380.000000,48.112389,-68.625628,0.783748,-0.000000,-0.153372,-0.045900,0.461352
382.000000,48.721088,-68.003235,0.775402,-0.000000,-0.156616,-0.054620,0.457107
384.000000,49.342074,-67.337757,0.766282,-0.000000,-0.159975,-0.063417,0.452963
386.000000,49.975972,-66.629768,0.756387,-0.000000,-0.163426,-0.072289,0.448917
388.000000,50.623641,-65.879649,0.745717,-0.000000,-0.166947,-0.081241,0.444962
390.000000,51.286194,-65.087548,0.734265,-0.000000,-0.170514,-0.090278,0.441097
392.000000,51.965074,-64.254631,0.722038,-0.000000,-0.174099,-0.099413,0.437317
394.000000,52.659407,-63.377918,0.709008,-0.000000,-0.177693,-0.108622,0.433636
396.000000,53.366443,-62.450765,0.695127,-0.000000,-0.181310,-0.117855,0.430072
398.000000,54.082596,-61.466063,0.680353,-0.000000,-0.184962,-0.127047,0.426644
400.000000,54.803384,-60.416310,0.664657,-0.000000,-0.188664,-0.136127,0.423364
402.000000,55.528191,-59.300152,0.648056,-0.000000,-0.192392,-0.145081,0.420226
404.000000,56.258832,-58.119484,0.630587,-0.000000,-0.196104,-0.153933,0.417219
406.000000,56.993678,-56.871330,0.612262,-0.000000,-0.199783,-0.162658,0.414343
408.000000,57.730953,-55.552557,0.593098,-0.000000,-0.203412,-0.171231,0.411600
410.000000,58.468735,-54.159892,0.573117,-0.000000,-0.206978,-0.179627,0.408992
412.000000,59.204954,-52.689947,0.552343,-0.000000,-0.210463,-0.187822,0.406519
414.000000,59.937394,-51.139256,0.530806,-0.000000,-0.213853,-0.195792,0.404182
416.000000,60.663693,-49.504318,0.508541,-0.000000,-0.217134,-0.203517,0.401979
418.000000,61.381352,-47.781661,0.485583,-0.000000,-0.220292,-0.210974,0.399912
420.000000,62.087741,-45.967921,0.461976,-0.000000,-0.223313,-0.218144,0.397980
422.000000,62.780305,-44.058854,0.437751,-0.000000,-0.226187,-0.225011,0.396180
424.000000,63.456326,-42.049983,0.412939,-0.000000,-0.228906,-0.231558,0.394512
426.000000,64.112736,-39.938048,0.387584,-0.000000,-0.231460,-0.237770,0.392973
428.000000,64.746351,-37.720363,0.361731,-0.000000,-0.233841,-0.243631,0.391563
430.000000,65.353895,-35.395021,0.335430,-0.000000,-0.236041,-0.249128,0.390280
432.000000,65.932035,-32.961122,0.308729,-0.000000,-0.238054,-0.254248,0.389121
434.000000,66.477421,-30.419024,0.281681,-0.000000,-0.239874,-0.258983,0.388085
436.000000,66.986743,-27.770594,0.254337,-0.000000,-0.241496,-0.263324,0.387170
438.000000,67.456784,-25.019446,0.226750,-0.000000,-0.242918,-0.267265,0.386373
440.000000,67.884496,-22.171149,0.198973,-0.000000,-0.244135,-0.270801,0.385691
442.000000,68.267089,-19.234052,0.171065,-0.000000,-0.245147,-0.273930,0.385123
444.000000,68.602074,-16.218372,0.143082,-0.000000,-0.245952,-0.276652,0.384665
446.000000,68.887296,-13.135628,0.115072,-0.000000,-0.246552,-0.278966,0.384314
448.000000,69.121037,-9.999312,0.087082,-0.000000,-0.246951,-0.280874,0.384067
450.000000,69.302074,-6.824614,0.059157,-0.000000,-0.247150,-0.282379,0.383921
452.000000,69.429733,-3.628026,0.031342,-0.000000,-0.247155,-0.283483,0.383874
454.000000,69.503910,-0.426844,0.003680,0.000000,-0.246970,-0.284193,0.383923
456.000000,69.525085,2.761404,-0.023789,0.000000,-0.246601,-0.284515,0.384064
458.000000,69.494306,5.919537,-0.051024,0.000000,-0.246054,-0.284456,0.384294
460.000000,69.413143,9.031282,-0.077989,0.000000,-0.245335,-0.284025,0.384612
462.000000,69.283628,12.081356,-0.104645,0.000000,-0.244452,-0.283230,0.385013
464.000000,69.108403,15.055785,-0.130951,0.000000,-0.243411,-0.282084,0.385494
466.000000,68.890569,17.942973,-0.156870,0.000000,-0.242218,-0.280600,0.386053
468.000000,68.633484,20.733712,-0.182367,0.000000,-0.240882,-0.278795,0.386686
470.000000,68.340657,23.421172,-0.207412,0.000000,-0.239408,-0.276684,0.387390
472.000000,68.015669,26.000771,-0.231977,0.000000,-0.237804,-0.274284,0.388162
474.000000,67.662084,28.469972,-0.256039,0.000000,-0.236078,-0.271611,0.388999
476.000000,67.283391,30.828025,-0.279577,0.000000,-0.234237,-0.268683,0.389898
478.000000,66.882949,33.075683,-0.302573,0.000000,-0.232288,-0.265518,0.390856
