wavelength_nm,psi_deg,delta_deg
4.540000000000000000e+02,4.930293336261833304e+01,7.021406721218569658e+01
4.560000000000000000e+02,4.893880791305979017e+01,7.063210336715263793e+01
4.580000000000000000e+02,4.858237098720249492e+01,7.102909214426153994e+01
4.600000000000000000e+02,4.823341330069447253e+01,7.140603486161992919e+01
4.620000000000000000e+02,4.789177496939917233e+01,7.176379782581810218e+01
4.640000000000000000e+02,4.755737787002874484e+01,7.210329863472375678e+01
4.660000000000000000e+02,4.723012654711380520e+01,7.242552304573825950e+01
4.680000000000000000e+02,4.690991496632694435e+01,7.273140801749195816e+01
4.700000000000000000e+02,4.659662790699997714e+01,7.302184485582300510e+01
4.720000000000000000e+02,4.629014221493817871e+01,7.329768217974222466e+01
4.740000000000000000e+02,4.599032792812401027e+01,7.355972871530426005e+01
4.760000000000000000e+02,4.569704928688457102e+01,7.380875592604604662e+01
4.780000000000000000e+02,4.541016563913184712e+01,7.404550048908866700e+01
4.800000000000000000e+02,4.512953225038641136e+01,7.427066662620046600e+01
4.820000000000000000e+02,4.485493416409291711e+01,7.448469460468456305e+01
4.840000000000000000e+02,4.458613306820903688e+01,7.468787217911821585e+01
4.860000000000000000e+02,4.432295115803339058e+01,7.488063219944037030e+01
4.880000000000000000e+02,4.406521667477570503e+01,7.506338283142270029e+01
4.900000000000000000e+02,4.381276380893768163e+01,7.523650923086150044e+01
4.920000000000000000e+02,4.356543258729104906e+01,7.540037508225275076e+01
4.940000000000000000e+02,4.332306874681595588e+01,7.555532401456302694e+01
4.960000000000000000e+02,4.308552359847303848e+01,7.570168090541173456e+01
4.980000000000000000e+02,4.285265388325835545e+01,7.583975308382224512e+01
5.000000000000000000e+02,4.262432162262357593e+01,7.596983144067145588e+01
5.020000000000000000e+02,4.240034857881227026e+01,7.609222700931744043e+01
5.040000000000000000e+02,4.218059237792844840e+01,7.620726251333374535e+01
5.060000000000000000e+02,4.196497390662717919e+01,7.631522730627719397e+01
5.080000000000000000e+02,4.175341570434231642e+01,7.641640132861785162e+01
5.100000000000000000e+02,4.154584201770313712e+01,7.651105559403293910e+01
5.120000000000000000e+02,4.134217884389384068e+01,7.659945264523359754e+01
5.140000000000000000e+02,4.114235396411775980e+01,7.668184698127930687e+01
5.160000000000000000e+02,4.094629696822264009e+01,7.675848545819793856e+01
5.180000000000000000e+02,4.075393927144688888e+01,7.682960766460024615e+01
5.200000000000000000e+02,4.056521412415867189e+01,7.689544627385909337e+01
5.220000000000000000e+02,4.037998903387639871e+01,7.695613230559945350e+01
5.240000000000000000e+02,4.019810256007524885e+01,7.701177926223043357e+01
5.260000000000000000e+02,4.001944806484620187e+01,7.706258192475456781e+01
5.280000000000000000e+02,3.984392169453724364e+01,7.710872663476291677e+01
5.300000000000000000e+02,3.967142227105598096e+01,7.715039176914801544e+01
5.320000000000000000e+02,3.950185118595279476e+01,7.718774818502591017e+01
5.340000000000000000e+02,3.933511229735177750e+01,7.722095963715376854e+01
5.360000000000000000e+02,3.917111182976387340e+01,7.725018316993902090e+01
5.380000000000000000e+02,3.900975827678878005e+01,7.727556948596719621e+01
5.400000000000000000e+02,3.885096230668883521e+01,7.729726329281794506e+01
5.420000000000000000e+02,3.869465620860246702e+01,7.731541505048926410e+01
5.440000000000000000e+02,3.854079474648521142e+01,7.733013989752446093e+01
5.460000000000000000e+02,3.838932584120080804e+01,7.734152246205697168e+01
5.480000000000000000e+02,3.824019995923983828e+01,7.734964375826646688e+01
5.500000000000000000e+02,3.809337002296502561e+01,7.735458132809596066e+01
5.520000000000000000e+02,3.794879132383840670e+01,7.735640937651317017e+01
5.540000000000000000e+02,3.780642143851329706e+01,7.735519890080530558e+01
5.560000000000000000e+02,3.766622014767612825e+01,7.735101781436237900e+01
5.580000000000000000e+02,3.752814935752324743e+01,7.734393106536835205e+01
5.600000000000000000e+02,3.739217302376029295e+01,7.733400075078947111e+01
5.620000000000000000e+02,3.725829447731003796e+01,7.732124334357060036e+01
5.640000000000000000e+02,3.712648192948656600e+01,7.730573778263736529e+01
5.660000000000000000e+02,3.699664833490813010e+01,7.728763456111352070e+01
5.680000000000000000e+02,3.686870688385766925e+01,7.726708004480776992e+01
5.700000000000000000e+02,3.674257098555148104e+01,7.724421669348673447e+01
5.720000000000000000e+02,3.661815424889349657e+01,7.721918327818934813e+01
5.740000000000000000e+02,3.649537046059903389e+01,7.719211509540382110e+01
5.760000000000000000e+02,3.637413356057178504e+01,7.716314417889064714e+01
5.780000000000000000e+02,3.625435761441894300e+01,7.713239950990339366e+01
5.800000000000000000e+02,3.613595678298707270e+01,7.710000722653344951e+01
5.820000000000000000e+02,3.601884712020552115e+01,7.706602079279912232e+01
5.840000000000000000e+02,3.590301595718367622e+01,7.703042155095661769e+01
5.860000000000000000e+02,3.578848546384963214e+01,7.699322511967528726e+01
5.880000000000000000e+02,3.567527919556065541e+01,7.695444660616514909e+01
5.900000000000000000e+02,3.556342208560423757e+01,7.691410052573233713e+01
5.920000000000000000e+02,3.545294043389738192e+01,7.687220073222501071e+01
5.940000000000000000e+02,3.534386189181287108e+01,7.682876035937762538e+01
5.960000000000000000e+02,3.523621544306384124e+01,7.678379177308306680e+01
5.980000000000000000e+02,3.513003138057749908e+01,7.673730653463015017e+01
6.000000000000000000e+02,3.502534127929371266e+01,7.668931537495465989e+01
6.020000000000000000e+02,3.492208664152178699e+01,7.663993943985980195e+01
6.040000000000000000e+02,3.482015791085323997e+01,7.658929953110371969e+01
6.060000000000000000e+02,3.471951203030485544e+01,7.653740407221835085e+01
6.080000000000000000e+02,3.462010724490932034e+01,7.648426000605934405e+01
6.100000000000000000e+02,3.452190304338008531e+01,7.642987287144029551e+01
6.120000000000000000e+02,3.442486010264948959e+01,7.637424687563459713e+01
6.140000000000000000e+02,3.432894023510407067e+01,7.631738496295733398e+01
6.160000000000000000e+02,3.423410633835233341e+01,7.625928887962668057e+01
6.180000000000000000e+02,3.414032234736941973e+01,7.619995923508996327e+01
6.200000000000000000e+02,3.404755318887465165e+01,7.613939555998966568e+01
6.220000000000000000e+02,3.395580177992304982e+01,7.607758730830794036e+01
6.240000000000000000e+02,3.386507822324146133e+01,7.601457942082683417e+01
6.260000000000000000e+02,3.377535874115347525e+01,7.595045319270114703e+01
6.280000000000000000e+02,3.368661929949121259e+01,7.588528902153576894e+01
6.300000000000000000e+02,3.359883562013825298e+01,7.581916643518508181e+01
6.320000000000000000e+02,3.351198319258685387e+01,7.575216411973180186e+01
6.340000000000000000e+02,3.342603728452898082e+01,7.568435994765040675e+01
6.360000000000000000e+02,3.334097295149856421e+01,7.561583100616262243e+01
6.380000000000000000e+02,3.325676504558249036e+01,7.554665362579518728e+01
6.400000000000000000e+02,3.317338822321678293e+01,7.547690340915252705e+01
6.420000000000000000e+02,3.309082586365477141e+01,7.540661491394813254e+01
6.440000000000000000e+02,3.300907044917794764e+01,7.533576170536939287e+01
6.460000000000000000e+02,3.292811079886708114e+01,7.526432692030556382e+01
6.480000000000000000e+02,3.284793657613538187e+01,7.519229311162098384e+01
6.500000000000000000e+02,3.276853826070049536e+01,7.511964226531117106e+01
6.520000000000000000e+02,3.268990712159290979e+01,7.504635581757018770e+01
6.540000000000000000e+02,3.261203519113387017e+01,7.497241467178187690e+01
6.560000000000000000e+02,3.253491523982130218e+01,7.489779921544793240e+01
6.580000000000000000e+02,3.245854075206416667e+01,7.482248933706605953e+01
6.600000000000000000e+02,3.238290590270926117e+01,7.474646444297117398e+01
6.620000000000000000e+02,3.230799660096117520e+01,7.466972256566209865e+01
6.640000000000000000e+02,3.223379439820985937e+01,7.459231221170863080e+01
6.660000000000000000e+02,3.216028733259357608e+01,7.451428778970019096e+01
6.680000000000000000e+02,3.208746330871169050e+01,7.443570324022570617e+01
6.700000000000000000e+02,3.201531010385971143e+01,7.435661204638181232e+01
6.720000000000000000e+02,3.194381537385375225e+01,7.427706724424000129e+01
6.740000000000000000e+02,3.187296665845484966e+01,7.419712143326991338e+01
6.760000000000000000e+02,3.180275138640220334e+01,7.411682678671182600e+01
6.780000000000000000e+02,3.173315688006512403e+01,7.403623506189725845e+01
6.800000000000000000e+02,3.166417035972265026e+01,7.395539761051476546e+01
6.820000000000000000e+02,3.159577319044097621e+01,7.387435063298077864e+01
6.840000000000000000e+02,3.152795289804349821e+01,7.379307905555877767e+01
6.860000000000000000e+02,3.146070630350184416e+01,7.371155678074886453e+01
6.880000000000000000e+02,3.139403079269223795e+01,7.362975739763400895e+01
6.900000000000000000e+02,3.132792430003102524e+01,7.354765419010131211e+01
6.920000000000000000e+02,3.126238529256358234e+01,7.346522014533918821e+01
6.940000000000000000e+02,3.119741275447184492e+01,7.338242796261201306e+01
6.960000000000000000e+02,3.113300617196686559e+01,7.329925006231364648e+01
6.980000000000000000e+02,3.106916551853596431e+01,7.321565859530277010e+01
7.000000000000000000e+02,3.100589124051373346e+01,7.313162545252193070e+01
7.020000000000000000e+02,3.094318071473323073e+01,7.304717882682651009e+01
7.040000000000000000e+02,3.088102088918163446e+01,7.296238129332824940e+01
7.060000000000000000e+02,3.081939692209823889e+01,7.287725595080641483e+01
7.080000000000000000e+02,3.075829398297778994e+01,7.279182566917027941e+01
7.100000000000000000e+02,3.069769725153490114e+01,7.270611309749617135e+01
7.120000000000000000e+02,3.063759191663022463e+01,7.262014067197418399e+01
7.140000000000000000e+02,3.057796317515499496e+01,7.253393062378077616e+01
7.160000000000000000e+02,3.051879623087021187e+01,7.244750498689077745e+01
